Total pixels count: 130467

repeat      count
-------     --------
1           129306
2           579
3           1

pixels repating 3 times:
---------------------------------------
position(x,y)        color(r,g,b)
--------------       -------------
(457, 106)           (115, 124, 4)
(137, 156)           (115, 124, 4)
(176, 252)           (115, 124, 4)


pixels repeating 2 times:
--------------------------------------
position(x,y)        color(r,g,b)
--------------       -------------
(9, 0)               (74, 141, 241)
(27, 0)              (178, 78, 99)
(53, 0)              (18, 235, 116)
(267, 0)             (220, 71, 88)
(50, 1)              (136, 74, 57)
(196, 1)             (185, 44, 86)
(36, 2)              (94, 248, 238)
(151, 2)             (240, 22, 164)
(287, 2)             (216, 183, 158)
(386, 2)             (158, 190, 237)
(399, 2)             (62, 86, 84)
(109, 3)             (90, 73, 118)
(127, 3)             (188, 200, 239)
(138, 3)             (122, 7, 36)
(231, 3)             (48, 93, 20)
(265, 3)             (210, 65, 113)
(429, 3)             (171, 103, 213)
(169, 4)             (123, 10, 75)
(228, 4)             (175, 216, 224)
(229, 4)             (152, 91, 242)
(334, 4)             (36, 242, 17)
(180, 5)             (134, 1, 149)
(206, 5)             (137, 158, 119)
(352, 5)             (122, 207, 45)
(371, 5)             (46, 106, 17)
(435, 5)             (29, 195, 15)
(78, 6)              (64, 64, 161)
(251, 6)             (232, 200, 68)
(376, 6)             (240, 213, 233)
(219, 7)             (103, 242, 196)
(67, 8)              (158, 200, 138)
(203, 8)             (156, 228, 226)
(277, 8)             (24, 219, 3)
(356, 8)             (181, 185, 194)
(70, 9)              (114, 238, 173)
(78, 9)              (245, 211, 131)
(82, 9)              (84, 223, 174)
(94, 10)             (134, 224, 89)
(381, 10)            (156, 228, 226)
(213, 11)            (8, 87, 4)
(277, 11)            (5, 46, 50)
(400, 11)            (44, 209, 168)
(413, 11)            (23, 198, 41)
(240, 12)            (169, 34, 160)
(266, 12)            (142, 71, 21)
(272, 12)            (110, 87, 102)
(289, 12)            (218, 235, 157)
(65, 13)             (247, 130, 202)
(143, 13)            (23, 198, 41)
(171, 13)            (89, 5, 134)
(321, 13)            (213, 93, 188)
(405, 13)            (66, 57, 9)
(331, 14)            (42, 92, 185)
(216, 15)            (85, 123, 184)
(332, 15)            (217, 193, 143)
(424, 15)            (56, 198, 219)
(435, 15)            (205, 146, 56)
(443, 15)            (121, 231, 236)
(462, 15)            (145, 225, 44)
(109, 16)            (92, 32, 33)
(291, 16)            (94, 138, 164)
(318, 16)            (42, 211, 123)
(411, 16)            (139, 81, 4)
(248, 17)            (110, 102, 109)
(251, 17)            (32, 0, 4)
(258, 17)            (115, 40, 128)
(298, 17)            (217, 73, 56)
(313, 17)            (220, 190, 165)
(436, 17)            (184, 122, 38)
(63, 18)             (217, 250, 15)
(88, 18)             (176, 204, 70)
(224, 18)            (101, 105, 38)
(261, 18)            (93, 203, 65)
(279, 18)            (244, 49, 4)
(5, 19)              (215, 9, 167)
(48, 19)             (221, 87, 226)
(79, 19)             (232, 165, 34)
(83, 19)             (159, 82, 186)
(184, 19)            (42, 35, 200)
(276, 19)            (152, 244, 223)
(346, 19)            (220, 71, 88)
(350, 19)            (29, 46, 84)
(374, 19)            (44, 209, 168)
(15, 20)             (64, 64, 161)
(54, 20)             (190, 219, 5)
(108, 20)            (194, 75, 4)
(206, 20)            (38, 151, 199)
(301, 20)            (37, 152, 211)
(327, 20)            (166, 160, 228)
(415, 20)            (139, 240, 26)
(433, 20)            (60, 72, 169)
(154, 21)            (35, 235, 113)
(318, 21)            (125, 205, 14)
(424, 21)            (131, 219, 177)
(463, 21)            (219, 186, 102)
(20, 22)             (88, 109, 1)
(51, 22)             (75, 112, 4)
(393, 22)            (29, 236, 237)
(446, 22)            (163, 224, 108)
(186, 23)            (26, 9, 55)
(271, 23)            (2, 152, 48)
(410, 23)            (131, 67, 165)
(86, 24)             (54, 19, 127)
(105, 24)            (247, 56, 168)
(122, 24)            (118, 68, 43)
(143, 24)            (76, 164, 208)
(279, 24)            (121, 237, 56)
(371, 24)            (127, 17, 235)
(42, 25)             (100, 95, 245)
(59, 25)             (112, 247, 59)
(65, 25)             (80, 165, 254)
(139, 25)            (222, 249, 107)
(246, 25)            (187, 154, 58)
(463, 25)            (126, 119, 1)
(282, 26)            (166, 117, 159)
(346, 26)            (90, 73, 118)
(370, 26)            (219, 186, 102)
(63, 27)             (156, 5, 157)
(184, 27)            (175, 1, 39)
(288, 27)            (104, 78, 108)
(292, 27)            (208, 129, 142)
(41, 28)             (8, 110, 199)
(47, 28)             (112, 92, 148)
(73, 28)             (94, 248, 238)
(149, 28)            (81, 6, 157)
(223, 28)            (71, 39, 72)
(347, 28)            (114, 159, 192)
(356, 28)            (131, 63, 85)
(467, 29)            (72, 74, 202)
(258, 30)            (115, 164, 123)
(304, 30)            (131, 67, 165)
(86, 31)             (215, 151, 120)
(109, 31)            (149, 209, 69)
(140, 31)            (205, 87, 192)
(257, 31)            (8, 15, 249)
(297, 31)            (148, 109, 106)
(335, 31)            (144, 90, 79)
(117, 32)            (181, 11, 26)
(196, 32)            (179, 136, 216)
(238, 32)            (177, 177, 117)
(69, 33)             (175, 229, 31)
(75, 33)             (206, 253, 103)
(276, 33)            (117, 89, 41)
(0, 34)              (181, 185, 194)
(186, 34)            (71, 39, 72)
(188, 34)            (80, 220, 250)
(217, 34)            (98, 206, 237)
(302, 34)            (183, 222, 21)
(304, 34)            (86, 134, 46)
(323, 34)            (120, 138, 115)
(370, 34)            (43, 186, 81)
(213, 35)            (89, 35, 215)
(235, 35)            (48, 199, 104)
(166, 36)            (133, 80, 80)
(272, 36)            (114, 143, 144)
(31, 37)             (36, 242, 17)
(60, 37)             (185, 58, 167)
(295, 37)            (96, 220, 110)
(356, 37)            (44, 28, 1)
(393, 37)            (89, 5, 134)
(439, 37)            (86, 69, 223)
(176, 38)            (190, 156, 23)
(290, 38)            (8, 222, 21)
(315, 38)            (129, 108, 98)
(350, 38)            (102, 33, 91)
(440, 38)            (21, 234, 182)
(25, 39)             (133, 208, 11)
(395, 39)            (16, 77, 108)
(452, 39)            (74, 19, 245)
(106, 40)            (206, 253, 103)
(108, 41)            (173, 44, 228)
(138, 41)            (62, 23, 180)
(207, 41)            (230, 38, 30)
(306, 41)            (32, 52, 178)
(310, 41)            (188, 109, 138)
(444, 41)            (164, 92, 230)
(54, 42)             (114, 142, 51)
(134, 42)            (251, 123, 211)
(151, 42)            (76, 162, 254)
(207, 42)            (148, 109, 106)
(310, 42)            (170, 34, 154)
(325, 42)            (117, 23, 246)
(356, 42)            (204, 56, 143)
(35, 43)             (218, 122, 82)
(49, 43)             (80, 160, 5)
(214, 43)            (249, 32, 52)
(452, 44)            (143, 23, 214)
(461, 44)            (158, 200, 138)
(26, 45)             (237, 150, 170)
(27, 45)             (51, 65, 4)
(199, 45)            (182, 110, 0)
(224, 45)            (208, 129, 142)
(409, 45)            (83, 197, 245)
(24, 46)             (228, 36, 180)
(136, 46)            (158, 153, 4)
(201, 46)            (35, 222, 162)
(277, 46)            (227, 220, 181)
(377, 46)            (247, 130, 202)
(202, 47)            (143, 162, 98)
(353, 47)            (250, 195, 197)
(42, 48)             (247, 164, 61)
(136, 48)            (46, 98, 153)
(212, 48)            (227, 220, 181)
(268, 48)            (254, 175, 19)
(273, 48)            (2, 152, 48)
(289, 48)            (3, 100, 113)
(88, 49)             (206, 32, 251)
(419, 49)            (133, 151, 217)
(443, 49)            (7, 79, 185)
(66, 50)             (41, 221, 10)
(134, 50)            (13, 206, 132)
(145, 50)            (61, 110, 106)
(160, 50)            (118, 22, 155)
(340, 50)            (213, 37, 200)
(461, 50)            (138, 127, 227)
(10, 51)             (122, 220, 56)
(100, 51)            (124, 89, 4)
(203, 51)            (208, 48, 220)
(219, 51)            (76, 138, 94)
(225, 51)            (104, 78, 108)
(424, 51)            (3, 100, 113)
(442, 51)            (177, 93, 140)
(5, 52)              (232, 7, 250)
(63, 53)             (83, 161, 133)
(120, 53)            (88, 18, 4)
(171, 53)            (219, 187, 127)
(467, 53)            (194, 167, 30)
(153, 54)            (213, 248, 203)
(192, 54)            (49, 62, 186)
(202, 54)            (74, 19, 245)
(409, 54)            (76, 139, 78)
(437, 54)            (204, 66, 32)
(29, 55)             (101, 147, 140)
(142, 55)            (8, 93, 212)
(277, 55)            (10, 222, 39)
(279, 55)            (184, 124, 4)
(322, 55)            (44, 28, 1)
(370, 55)            (178, 78, 99)
(445, 55)            (153, 254, 0)
(458, 55)            (4, 234, 229)
(59, 57)             (160, 87, 171)
(270, 57)            (100, 206, 168)
(307, 57)            (130, 185, 183)
(434, 57)            (17, 141, 20)
(38, 58)             (144, 99, 245)
(51, 58)             (77, 79, 198)
(115, 58)            (107, 105, 4)
(130, 58)            (230, 38, 30)
(290, 58)            (175, 229, 31)
(304, 58)            (210, 88, 151)
(454, 59)            (149, 121, 184)
(383, 60)            (206, 215, 16)
(408, 60)            (137, 170, 4)
(21, 61)             (12, 164, 218)
(46, 61)             (202, 210, 20)
(64, 61)             (193, 166, 250)
(139, 61)            (253, 226, 9)
(142, 61)            (151, 86, 68)
(193, 61)            (148, 254, 14)
(254, 61)            (107, 83, 226)
(345, 61)            (148, 254, 14)
(421, 61)            (80, 10, 132)
(3, 62)              (96, 107, 248)
(43, 62)             (16, 83, 85)
(194, 62)            (205, 168, 71)
(267, 62)            (47, 123, 187)
(304, 62)            (109, 127, 214)
(436, 62)            (38, 151, 199)
(63, 63)             (58, 85, 4)
(90, 63)             (19, 212, 172)
(156, 63)            (30, 242, 4)
(358, 63)            (85, 170, 29)
(343, 64)            (234, 194, 32)
(461, 64)            (117, 89, 41)
(176, 65)            (119, 54, 210)
(376, 65)            (77, 126, 108)
(394, 65)            (252, 172, 103)
(442, 65)            (66, 57, 9)
(458, 65)            (37, 152, 211)
(182, 66)            (114, 153, 143)
(79, 67)             (75, 210, 25)
(153, 67)            (80, 234, 191)
(221, 67)            (191, 190, 212)
(222, 67)            (219, 83, 4)
(354, 67)            (6, 27, 217)
(357, 67)            (164, 92, 230)
(19, 68)             (214, 192, 241)
(187, 68)            (92, 241, 189)
(239, 68)            (115, 164, 123)
(294, 68)            (138, 84, 221)
(301, 68)            (32, 0, 4)
(366, 68)            (10, 125, 21)
(244, 69)            (243, 191, 1)
(361, 69)            (254, 175, 19)
(405, 69)            (192, 249, 29)
(65, 70)             (178, 8, 207)
(151, 70)            (124, 44, 131)
(271, 70)            (53, 126, 223)
(345, 70)            (164, 231, 234)
(385, 70)            (34, 14, 198)
(416, 70)            (20, 99, 10)
(127, 71)            (220, 5, 205)
(405, 71)            (185, 64, 73)
(46, 72)             (114, 197, 211)
(81, 72)             (213, 93, 188)
(308, 72)            (127, 17, 235)
(353, 72)            (228, 36, 180)
(65, 73)             (223, 159, 155)
(125, 73)            (188, 82, 188)
(244, 73)            (188, 109, 138)
(384, 73)            (229, 8, 140)
(403, 73)            (7, 42, 101)
(245, 74)            (192, 17, 4)
(427, 74)            (147, 193, 140)
(14, 75)             (244, 198, 212)
(171, 75)            (60, 233, 35)
(283, 75)            (187, 154, 58)
(346, 75)            (103, 242, 196)
(82, 76)             (124, 89, 4)
(144, 76)            (115, 224, 242)
(43, 77)             (220, 5, 205)
(80, 77)             (185, 64, 73)
(87, 77)             (4, 71, 248)
(167, 77)            (97, 253, 125)
(176, 77)            (241, 217, 113)
(240, 77)            (157, 174, 98)
(400, 77)            (96, 163, 98)
(31, 78)             (191, 140, 44)
(320, 78)            (195, 167, 165)
(195, 79)            (77, 126, 108)
(277, 79)            (152, 244, 223)
(322, 79)            (197, 84, 164)
(398, 79)            (170, 34, 154)
(412, 79)            (50, 129, 228)
(0, 80)              (72, 230, 77)
(309, 80)            (42, 97, 169)
(407, 80)            (112, 247, 59)
(57, 81)             (75, 210, 25)
(84, 81)             (8, 15, 249)
(124, 81)            (188, 239, 150)
(156, 81)            (245, 233, 127)
(385, 81)            (88, 18, 4)
(347, 82)            (250, 40, 229)
(370, 82)            (245, 135, 183)
(201, 83)            (23, 51, 14)
(347, 83)            (153, 254, 0)
(378, 83)            (96, 176, 184)
(27, 84)             (24, 89, 165)
(376, 84)            (108, 219, 254)
(30, 85)             (131, 63, 85)
(32, 85)             (216, 152, 11)
(71, 85)             (92, 79, 145)
(91, 85)             (88, 109, 1)
(192, 85)            (48, 188, 185)
(275, 85)            (204, 66, 32)
(290, 85)            (48, 93, 20)
(35, 86)             (48, 33, 194)
(102, 86)            (164, 3, 163)
(224, 86)            (88, 129, 190)
(308, 86)            (146, 157, 4)
(316, 86)            (8, 87, 4)
(326, 86)            (86, 33, 19)
(462, 86)            (49, 73, 56)
(60, 87)             (152, 43, 159)
(371, 87)            (149, 90, 193)
(443, 87)            (228, 226, 73)
(455, 87)            (27, 189, 10)
(46, 88)             (228, 46, 4)
(150, 88)            (145, 62, 110)
(171, 88)            (151, 180, 80)
(458, 88)            (23, 202, 4)
(463, 88)            (219, 88, 60)
(9, 89)              (138, 80, 47)
(114, 89)            (245, 211, 131)
(275, 89)            (30, 48, 0)
(299, 89)            (122, 207, 45)
(333, 89)            (51, 65, 4)
(14, 90)             (75, 70, 4)
(127, 90)            (116, 39, 4)
(241, 90)            (122, 188, 55)
(453, 90)            (70, 195, 2)
(86, 91)             (110, 102, 109)
(426, 91)            (54, 19, 127)
(165, 92)            (203, 166, 231)
(445, 92)            (114, 197, 211)
(98, 93)             (78, 73, 240)
(228, 93)            (202, 122, 146)
(400, 93)            (192, 1, 8)
(434, 93)            (158, 153, 4)
(466, 93)            (42, 211, 123)
(55, 94)             (16, 77, 108)
(78, 94)             (130, 185, 183)
(451, 94)            (67, 225, 249)
(18, 95)             (108, 75, 189)
(99, 95)             (185, 44, 86)
(161, 95)            (138, 84, 221)
(217, 95)            (166, 159, 166)
(257, 95)            (235, 79, 115)
(324, 95)            (11, 142, 4)
(348, 95)            (227, 119, 91)
(413, 95)            (8, 110, 199)
(420, 95)            (206, 5, 230)
(26, 96)             (100, 95, 245)
(137, 96)            (47, 112, 223)
(218, 96)            (199, 75, 98)
(257, 96)            (223, 24, 129)
(363, 96)            (168, 193, 4)
(441, 96)            (141, 171, 137)
(460, 96)            (56, 67, 4)
(4, 97)              (42, 92, 185)
(45, 97)             (157, 222, 66)
(79, 97)             (4, 71, 248)
(159, 97)            (84, 36, 126)
(246, 97)            (84, 36, 126)
(444, 97)            (52, 209, 208)
(43, 98)             (204, 163, 102)
(58, 98)             (127, 185, 147)
(133, 98)            (60, 72, 169)
(340, 98)            (185, 58, 167)
(394, 98)            (114, 143, 144)
(431, 98)            (106, 134, 84)
(16, 99)             (93, 117, 93)
(39, 99)             (160, 87, 171)
(134, 99)            (177, 177, 117)
(158, 99)            (52, 117, 30)
(280, 99)            (36, 203, 122)
(361, 99)            (148, 25, 187)
(85, 100)            (47, 112, 223)
(224, 100)           (67, 244, 28)
(279, 100)           (33, 143, 4)
(323, 100)           (40, 41, 20)
(328, 100)           (120, 201, 4)
(402, 100)           (23, 51, 14)
(434, 100)           (197, 47, 62)
(219, 101)           (24, 219, 3)
(373, 101)           (146, 157, 4)
(419, 101)           (224, 67, 83)
(278, 102)           (32, 151, 117)
(198, 103)           (212, 132, 232)
(295, 103)           (152, 2, 207)
(410, 103)           (134, 1, 149)
(443, 103)           (55, 82, 145)
(80, 104)            (93, 85, 21)
(245, 104)           (192, 17, 4)
(252, 104)           (45, 129, 246)
(362, 104)           (249, 237, 226)
(391, 104)           (217, 193, 143)
(3, 105)             (101, 241, 203)
(25, 105)            (80, 234, 191)
(80, 105)            (30, 150, 131)
(150, 105)           (201, 14, 89)
(173, 105)           (85, 170, 29)
(188, 105)           (229, 59, 92)
(336, 105)           (179, 136, 216)
(465, 105)           (216, 183, 158)
(75, 106)            (13, 232, 4)
(319, 106)           (114, 153, 143)
(459, 106)           (21, 234, 182)
(109, 107)           (7, 63, 103)
(120, 107)           (76, 162, 254)
(178, 107)           (56, 208, 201)
(283, 107)           (155, 128, 74)
(302, 107)           (125, 129, 31)
(464, 107)           (83, 197, 245)
(10, 108)            (193, 166, 250)
(181, 108)           (91, 50, 132)
(248, 108)           (41, 152, 205)
(335, 108)           (175, 1, 39)
(59, 109)            (163, 6, 240)
(200, 109)           (169, 171, 21)
(351, 109)           (232, 7, 250)
(402, 109)           (72, 230, 77)
(115, 110)           (218, 23, 122)
(180, 110)           (38, 167, 4)
(282, 110)           (171, 241, 112)
(404, 110)           (114, 143, 174)
(68, 111)            (244, 70, 55)
(117, 111)           (52, 207, 253)
(371, 111)           (108, 165, 17)
(389, 111)           (233, 221, 210)
(451, 111)           (107, 105, 4)
(29, 112)            (120, 68, 253)
(45, 112)            (205, 146, 56)
(169, 112)           (142, 71, 21)
(251, 112)           (92, 241, 189)
(306, 112)           (29, 46, 84)
(339, 112)           (229, 151, 133)
(340, 112)           (32, 151, 117)
(98, 113)            (35, 235, 113)
(147, 113)           (235, 50, 77)
(469, 113)           (188, 33, 36)
(143, 114)           (152, 2, 207)
(247, 114)           (48, 199, 104)
(420, 114)           (214, 192, 241)
(437, 114)           (124, 59, 174)
(55, 115)            (213, 50, 214)
(86, 115)            (161, 165, 120)
(103, 115)           (74, 31, 103)
(140, 115)           (68, 218, 57)
(316, 115)           (241, 94, 87)
(213, 116)           (12, 12, 170)
(292, 116)           (120, 201, 4)
(342, 116)           (146, 74, 191)
(409, 116)           (152, 91, 242)
(167, 117)           (244, 70, 55)
(265, 117)           (85, 127, 27)
(388, 117)           (158, 190, 237)
(412, 117)           (88, 128, 86)
(455, 117)           (165, 26, 102)
(15, 118)            (198, 116, 109)
(23, 118)            (7, 42, 101)
(349, 118)           (24, 4, 179)
(188, 119)           (168, 201, 4)
(243, 119)           (206, 93, 111)
(372, 119)           (39, 245, 107)
(397, 119)           (135, 114, 56)
(437, 119)           (137, 170, 4)
(455, 119)           (20, 99, 10)
(75, 120)            (228, 29, 95)
(158, 120)           (196, 78, 163)
(314, 120)           (35, 222, 162)
(178, 121)           (84, 162, 223)
(308, 121)           (73, 85, 17)
(332, 121)           (96, 163, 98)
(444, 121)           (237, 150, 170)
(368, 122)           (155, 128, 74)
(43, 123)            (229, 8, 140)
(65, 123)            (39, 245, 107)
(194, 123)           (246, 46, 195)
(284, 123)           (100, 206, 168)
(40, 124)            (183, 17, 208)
(47, 124)            (215, 44, 63)
(223, 124)           (245, 135, 183)
(245, 124)           (238, 52, 65)
(409, 124)           (236, 53, 164)
(428, 124)           (211, 15, 42)
(19, 125)            (61, 94, 78)
(33, 125)            (83, 225, 170)
(40, 125)            (236, 162, 136)
(45, 125)            (184, 86, 188)
(141, 125)           (25, 157, 128)
(186, 125)           (166, 160, 228)
(335, 125)           (15, 90, 54)
(435, 125)           (199, 132, 68)
(436, 125)           (191, 190, 212)
(151, 126)           (114, 51, 175)
(192, 126)           (207, 247, 121)
(261, 126)           (29, 236, 237)
(42, 127)            (198, 6, 28)
(62, 127)            (230, 253, 195)
(401, 127)           (188, 200, 239)
(410, 127)           (178, 8, 207)
(450, 127)           (165, 182, 100)
(81, 128)            (134, 40, 60)
(239, 128)           (214, 45, 119)
(291, 128)           (180, 111, 31)
(317, 128)           (116, 154, 136)
(137, 129)           (67, 218, 147)
(390, 129)           (206, 28, 15)
(460, 129)           (223, 24, 129)
(15, 130)            (124, 44, 131)
(46, 130)            (74, 141, 241)
(131, 131)           (180, 10, 248)
(139, 131)           (82, 143, 120)
(315, 131)           (89, 14, 142)
(317, 131)           (49, 125, 50)
(403, 131)           (136, 74, 57)
(422, 131)           (232, 200, 68)
(30, 132)            (137, 114, 4)
(139, 132)           (247, 164, 61)
(270, 132)           (238, 94, 175)
(341, 132)           (42, 97, 169)
(358, 132)           (7, 63, 103)
(424, 132)           (120, 138, 115)
(220, 133)           (91, 142, 247)
(226, 133)           (234, 80, 224)
(392, 133)           (38, 167, 4)
(465, 133)           (157, 174, 98)
(285, 134)           (52, 156, 4)
(292, 134)           (217, 250, 15)
(21, 135)            (184, 86, 188)
(162, 135)           (111, 25, 235)
(379, 135)           (137, 158, 119)
(426, 135)           (194, 167, 30)
