# Positions of colors that have a blue value equals (4)
# and appear more than once in the image:
------------------------------------------------------

color(R, G, B)       position(x,y)
---------------      ---------------------------------
(6, 11, 4)           [(412, 237), (187, 242)]
(8, 87, 4)           [(213, 11), (316, 86)]
(11, 142, 4)         [(324, 95), (297, 263)]
(13, 232, 4)         [(75, 106), (75, 222)]
(23, 202, 4)         [(458, 88), (389, 169)]
(30, 242, 4)         [(156, 63), (108, 248)]
(32, 0, 4)           [(251, 17), (301, 68)]
(33, 143, 4)         [(279, 100), (321, 186)]
(38, 167, 4)         [(180, 110), (392, 133)]
(51, 65, 4)          [(27, 45), (333, 89)]
(52, 156, 4)         [(285, 134), (382, 163)]
(55, 2, 4)           [(105, 235), (66, 252)]
(56, 67, 4)          [(460, 96), (467, 162)]
(58, 85, 4)          [(63, 63), (60, 206)]
(60, 131, 4)         [(396, 190), (410, 256)]
(75, 70, 4)          [(14, 90), (178, 269)]
(75, 112, 4)         [(51, 22), (327, 207)]
(77, 217, 4)         [(434, 193), (460, 213)]
(78, 121, 4)         [(315, 175), (126, 177)]
(88, 18, 4)          [(120, 53), (385, 81)]
(91, 203, 4)         [(199, 228), (460, 236)]
(106, 212, 4)        [(373, 184), (401, 223)]
(107, 105, 4)        [(115, 58), (451, 111)]
(109, 157, 4)        [(333, 138), (400, 228)]
(115, 124, 4)        [(457, 106), (137, 156), (176, 252)]
(116, 39, 4)         [(127, 90), (412, 209)]
(120, 201, 4)        [(328, 100), (292, 116)]
(124, 89, 4)         [(100, 51), (82, 76)]
(134, 215, 4)        [(458, 145), (184, 180)]
(137, 114, 4)        [(30, 132), (245, 227)]
(137, 170, 4)        [(408, 60), (437, 119)]
(139, 81, 4)         [(411, 16), (29, 257)]
(141, 135, 4)        [(150, 255), (110, 259)]
(143, 14, 4)         [(329, 179), (367, 236)]
(146, 157, 4)        [(308, 86), (373, 101)]
(158, 153, 4)        [(136, 46), (434, 93)]
(168, 193, 4)        [(363, 96), (38, 204)]
(168, 201, 4)        [(188, 119), (425, 210)]
(170, 229, 4)        [(355, 158), (328, 276)]
(172, 130, 4)        [(312, 189), (186, 240)]
(184, 124, 4)        [(279, 55), (144, 161)]
(192, 17, 4)         [(245, 74), (245, 104)]
(194, 75, 4)         [(108, 20), (259, 250)]
(219, 83, 4)         [(222, 67), (74, 163)]
(228, 46, 4)         [(46, 88), (88, 181)]
(234, 102, 4)        [(229, 186), (77, 209)]
(244, 49, 4)         [(279, 18), (169, 246)]

Colors count: 47
Pixels count: 95

